cpr1 50,cpr1 50
-0.001173114,0
-0.001164895,0
-0.001156721,0
-0.001148594,0
-0.001140513,0
-0.001132478,0
-0.001124489,0
-0.001116546,0
-0.001108649,0
-0.001100797,0
-0.001092991,0
-0.00108523,0
-0.001077514,0
-0.001069843,0
-0.001062218,0
-0.001054637,0
-0.001047101,0
-0.00103961,0
-0.001032163,0
-0.001024761,0
-0.001017403,0
-0.001010089,0
-0.00100282,0
-0.000995594,0
-0.000988412,0
-0.000981274,0
-0.00097418,0
-0.000967129,0
-0.000960121,0
-0.000953157,0
-0.000946236,0
-0.000939358,0
-0.000932523,0
-0.00092573,0
-0.000918981,0
-0.000912274,0
-0.000905609,0
-0.000898987,0
-0.000892407,0
-0.00088587,0
-0.000879374,0
-0.00087292,0
-0.000866508,0
-0.000860138,0
-0.000853809,0
-0.000847522,0
-0.000841276,0
-0.000835072,0
-0.000828908,0
-0.000822786,0
-0.000816704,0
-0.000810663,0
-0.000804663,0
-0.000798703,0
-0.000792784,0
-0.000786906,0
-0.000781067,0
-0.000775269,0
-0.00076951,0
-0.000763792,0
-0.000758113,0
-0.000752474,0
-0.000746875,0
-0.000741315,0
-0.000735794,0
-0.000730313,0
-0.000724871,0
-0.000719467,0
-0.000714103,0
-0.000708777,0
-0.000703491,0
-0.000698242,0
-0.000693033,0
-0.000687861,0
-0.000682728,0
-0.000677633,0
-0.000672576,0
-0.000667557,0
-0.000662576,0
-0.000657632,0
-0.000652726,0
-0.000647858,0
-0.000643027,0
-0.000638233,0
-0.000633476,0
-0.000628757,0
-0.000624074,0
-0.000619428,0
-0.000614819,0
-0.000610247,0
-0.000605711,0
-0.000601211,0
-0.000596748,0
-0.000592321,0
-0.00058793,0
-0.000583575,0
-0.000579256,0
-0.000574973,0
-0.000570725,0
-0.000566513,0
-0.000562337,0
-0.000558195,0
-0.000554089,0
-0.000550019,0
-0.000545983,0
-0.000541982,0
-0.000538016,0
-0.000534084,0
-0.000530188,0
-0.000526325,0
-0.000522497,0
-0.000518704,0
-0.000514944,0
-0.000511219,0
-0.000507528,0
-0.00050387,0
-0.000500247,0
-0.000496657,0
-0.0004931,0
-0.000489577,0
-0.000486087,0
-0.000482631,0
-0.000479208,0
-0.000475818,0
-0.00047246,0
-0.000469136,0
-0.000465844,0
-0.000462585,0
-0.000459358,0
-0.000456164,0
-0.000453002,0
-0.000449873,0
-0.000446775,0
-0.00044371,0
-0.000440676,0
-0.000437674,0
-0.000434704,0
-0.000431766,0
-0.000428859,0
-0.000425983,0
-0.000423139,0
-0.000420326,0
-0.000417544,0
-0.000414793,0
-0.000412073,0
-0.000409384,0
-0.000406725,0
-0.000404097,0
-0.0004015,0
-0.000398932,0
-0.000396396,0
-0.000393889,0
-0.000391412,0
-0.000388966,0
-0.000386549,0
-0.000384162,0
-0.000381805,0
-0.000379477,0
-0.000377179,0
-0.00037491,0
-0.000372671,0
-0.00037046,0
-0.000368279,0
-0.000366127,0
-0.000364003,0
-0.000361909,0
-0.000359843,0
-0.000357806,0
-0.000355797,0
-0.000353817,0
-0.000351864,0
-0.000349941,0
-0.000348045,0
-0.000346177,0
-0.000344337,0
-0.000342525,0
-0.000340741,0
-0.000338984,0
-0.000337255,0
-0.000335553,0
-0.000333878,0
-0.000332231,0
-0.000330611,0
-0.000329018,0
-0.000327452,0
-0.000325912,0
-0.0003244,0
-0.000322914,0
-0.000321454,0
-0.000320021,0
-0.000318615,0
-0.000317234,0
-0.00031588,0
-0.000314552,0
-0.00031325,0
-0.000311973,0
-0.000310723,0
-0.000309498,0
-0.000308299,0
-0.000307125,0
-0.000305977,0
-0.000304854,0
-0.000303756,0
-0.000302683,0
-0.000301635,0
