Frame_number, Cell_number, Cell_colour, Position_X, Position_Y, Unique_cell_number
1,1,1,404.7,343.73,1
1,2,1,308,170,2
1,3,-1,153.81,288.87,3
1,4,-1,892.86,113.75,4
1,5,-1,165.35,303.1,5
1,6,-1,908.04,107.58,6
1,7,-1,631.69,306.46,7
1,8,-1,598.56,597.68,8
1,9,-1,633.87,288.41,9
1,10,-1,616.91,601.19,10
1,11,-1,624.2,616.57,11
1,12,-1,641.89,614.67,12
1,13,-1,144.47,300.78,13
1,14,-1,894.93,97.896,14
1,15,-1,387.67,345.38,15
2,1,-1,427.89,358.74,1
2,2,1,308,170,2
2,3,-1,180.15,305.52,3
2,4,-1,919.67,130.08,4
2,5,-1,191.9,320.14,5
2,6,-1,934.33,123.49,6
2,7,-1,657.14,323.31,7
2,8,-1,624.16,613.73,8
2,9,-1,659.38,304.34,9
2,10,-1,642.8,618.01,10
2,11,-1,650.29,633.87,11
2,12,-1,667.88,631.49,12
2,13,-1,169.98,317.65,13
2,14,-1,920.97,114.64,14
2,15,-1,412.9,363.96,15
3,1,-1,433.4,357.16,1
3,2,1,306,170,2
3,3,-1,186.39,303.59,3
3,4,-1,924.29,129.28,4
3,5,-1,197.24,318.45,5
3,6,-1,939.93,122.37,6
3,7,-1,663.32,321.6,7
3,8,-1,630.22,611.8,8
3,9,-1,664.68,301.87,9
3,10,-1,648.57,616.74,10
3,11,-1,655.41,632.77,11
3,12,-1,674.46,629.07,12
3,13,-1,176.05,316.48,13
3,14,1,420.43,362.18,15
4,1,-1,433.42,356.57,1
4,2,1,306,170,2
4,3,-1,185.87,302.94,3
4,4,-1,924.09,128.71,4
4,5,-1,197.66,318.06,5
4,6,-1,940.21,121.46,6
4,7,-1,663.44,321.47,7
4,8,-1,629.44,611.59,8
4,9,-1,665.32,302.24,9
4,10,-1,648.77,615.86,10
4,11,-1,655.93,632.52,11
4,12,-1,676.12,628.44,12
4,13,-1,175.89,315.78,13
4,14,-1,417.98,362.3,15
