rtt102 50,rtt102 100,rtt102 50,rtt102 100
0,0,1.43E-05,3.05E-03
0,0,2.72E-05,3.04E-03
0,0,4.02E-05,3.03E-03
0,0,5.31E-05,3.01E-03
0,0,6.59E-05,3.00E-03
0,0,7.88E-05,2.99E-03
0,0,9.16E-05,2.97E-03
0,0,0.000104352,0.002959478
0,0,0.000117092,0.00294645
0,0,0.000129801,0.002933455
0,0,0.000142479,0.002920493
0,0,0.000155126,0.002907564
0,0,0.000167741,0.002894667
0,0,0.000180325,0.002881802
0,0,0.000192878,0.00286897
0,0,0.0002054,0.002856171
0,0,0.000217891,0.002843404
0,0,0.000230351,0.00283067
0,0,0.00024278,0.002817968
0,0,0.000255178,0.002805298
0,0,0.000267546,0.002792661
0,0,0.000279883,0.002780056
0,0,0.000292189,0.002767484
0,0,0.000304465,0.002754944
0,0,0.00031671,0.002742436
0,0,0.000328925,0.00272996
0,0,0.000341109,0.002717517
0,0,0.000353264,0.002705105
0,0,0.000365388,0.002692726
0,0,0.000377481,0.002680379
0,0,0.000389545,0.002668064
0,0,0.000401579,0.002655781
0,0,0.000413582,0.00264353
0,0,0.000425556,0.00263131
0,0,0.0004375,0.002619123
0,0,0.000449414,0.002606968
0,0,0.000461298,0.002594845
0,0,0.000473153,0.002582753
0,0,0.000484977,0.002570694
0,0,0.000496773,0.002558666
0,0,0.000508539,0.00254667
0,0,0.000520275,0.002534705
0,0,0.000531982,0.002522773
0,0,0.00054366,0.002510872
0,0,0.000555308,0.002499002
0,0,0.000566928,0.002487164
0,0,0.000578518,0.002475358
0,0,0.000590079,0.002463584
0,0,0.000601611,0.00245184
0,0,0.000613114,0.002440129
0,0,0.000624588,0.002428449
0,0,0.000636033,0.0024168
0,0,0.00064745,0.002405182
0,0,0.000658837,0.002393596
0,0,0.000670197,0.002382042
0,0,0.000681527,0.002370518
0,0,0.000692829,0.002359026
0,0,0.000704103,0.002347565
0,0,0.000715348,0.002336136
0,0,0.000726564,0.002324737
0,0,0.000737753,0.00231337
0,0,0.000748913,0.002302034
0,0,0.000760045,0.002290729
0,0,0.000771149,0.002279455
0,0,0.000782225,0.002268212
0,0,0.000793272,0.002257
0,0,0.000804292,0.002245819
0,0,0.000815284,0.002234668
0,0,0.000826248,0.002223549
0,0,0.000837185,0.002212461
0,0,0.000848093,0.002201404
0,0,0.000858974,0.002190377
0,0,0.000869828,0.002179381
0,0,0.000880653,0.002168416
0,0,0.000891452,0.002157482
0,0,0.000902223,0.002146578
0,0,0.000912966,0.002135705
0,0,0.000923683,0.002124863
0,0,0.000934372,0.002114051
0,0,0.000945034,0.00210327
0,0,0.000955668,0.00209252
0,0,0.000966276,0.0020818
0,0,0.000976857,0.00207111
0,0,0.000987411,0.002060451
0,0,0.000997937,0.002049823
0,0,0.001008437,0.002039224
0,0,0.001018911,0.002028657
0,0,0.001029357,0.002018119
0,0,0.001039777,0.002007612
0,0,0.00105017,0.001997135
0,0,0.001060537,0.001986689
0,0,0.001070877,0.001976272
0,0,0.001081191,0.001965886
