hpa2 50,hpa2 100,hpa2 50,hpa2 100
0,0,0.003475454,0.001791401
0,0,0.003463092,0.001792557
0,0,0.003450751,0.001793719
0,0,0.00343843,0.001794887
0,0,0.003426128,0.00179606
0,0,0.003413847,0.00179724
0,0,0.003401586,0.001798425
0,0,0.003389346,0.001799616
0,0,0.003377125,0.001800814
0,0,0.003364924,0.001802017
0,0,0.003352744,0.001803226
0,0,0.003340584,0.001804442
0,0,0.003328444,0.001805663
0,0,0.003316325,0.001806891
0,0,0.003304226,0.001808125
0,0,0.003292147,0.001809364
0,0,0.003280088,0.001810611
0,0,0.00326805,0.001811863
0,0,0.003256032,0.001813121
0,0,0.003244034,0.001814386
0,0,0.003232057,0.001815657
0,0,0.0032201,0.001816935
0,0,0.003208164,0.001818219
0,0,0.003196248,0.001819509
0,0,0.003184352,0.001820805
0,0,0.003172477,0.001822109
0,0,0.003160623,0.001823418
0,0,0.003148789,0.001824734
0,0,0.003136975,0.001826057
0,0,0.003125182,0.001827386
0,0,0.003113409,0.001828721
0,0,0.003101657,0.001830064
0,0,0.003089926,0.001831412
0,0,0.003078215,0.001832768
0,0,0.003066525,0.00183413
0,0,0.003054855,0.001835499
0,0,0.003043206,0.001836875
0,0,0.003031578,0.001838257
0,0,0.00301997,0.001839647
0,0,0.003008383,0.001841043
0,0,0.002996817,0.001842446
0,0,0.002985272,0.001843855
0,0,0.002973747,0.001845272
0,0,0.002962243,0.001846696
0,0,0.00295076,0.001848126
0,0,0.002939297,0.001849564
0,0,0.002927856,0.001851008
0,0,0.002916435,0.00185246
0,0,0.002905035,0.001853918
0,0,0.002893655,0.001855384
0,0,0.002882297,0.001856857
0,0,0.00287096,0.001858337
0,0,0.002859643,0.001859824
0,0,0.002848347,0.001861318
0,0,0.002837073,0.00186282
0,0,0.002825819,0.001864328
0,0,0.002814586,0.001865844
0,0,0.002803374,0.001867368
0,0,0.002792183,0.001868898
0,0,0.002781013,0.001870436
0,0,0.002769864,0.001871982
0,0,0.002758737,0.001873534
0,0,0.00274763,0.001875094
0,0,0.002736544,0.001876662
0,0,0.002725479,0.001878237
0,0,0.002714436,0.00187982
0,0,0.002703413,0.00188141
0,0,0.002692412,0.001883007
0,0,0.002681432,0.001884613
