hpa2 50,hpa2 100
0.003475454,0.001791401
0.003463092,0.001792557
0.003450751,0.001793719
0.00343843,0.001794887
0.003426128,0.00179606
0.003413847,0.00179724
0.003401586,0.001798425
0.003389346,0.001799616
0.003377125,0.001800814
0.003364924,0.001802017
0.003352744,0.001803226
0.003340584,0.001804442
0.003328444,0.001805663
0.003316325,0.001806891
0.003304226,0.001808125
0.003292147,0.001809364
0.003280088,0.001810611
0.00326805,0.001811863
0.003256032,0.001813121
0.003244034,0.001814386
0.003232057,0.001815657
0.0032201,0.001816935
0.003208164,0.001818219
0.003196248,0.001819509
0.003184352,0.001820805
0.003172477,0.001822109
0.003160623,0.001823418
0.003148789,0.001824734
0.003136975,0.001826057
0.003125182,0.001827386
0.003113409,0.001828721
0.003101657,0.001830064
0.003089926,0.001831412
0.003078215,0.001832768
0.003066525,0.00183413
0.003054855,0.001835499
0.003043206,0.001836875
0.003031578,0.001838257
0.00301997,0.001839647
0.003008383,0.001841043
0.002996817,0.001842446
0.002985272,0.001843855
0.002973747,0.001845272
0.002962243,0.001846696
0.00295076,0.001848126
0.002939297,0.001849564
0.002927856,0.001851008
0.002916435,0.00185246
0.002905035,0.001853918
0.002893655,0.001855384
0.002882297,0.001856857
0.00287096,0.001858337
0.002859643,0.001859824
0.002848347,0.001861318
0.002837073,0.00186282
0.002825819,0.001864328
0.002814586,0.001865844
0.002803374,0.001867368
0.002792183,0.001868898
0.002781013,0.001870436
0.002769864,0.001871982
0.002758737,0.001873534
0.00274763,0.001875094
0.002736544,0.001876662
0.002725479,0.001878237
0.002714436,0.00187982
0.002703413,0.00188141
0.002692412,0.001883007
0.002681432,0.001884613
0.002670473,0.001886225
0.002659535,0.001887846
0.002648618,0.001889474
0.002637723,0.00189111
0.002626848,0.001892753
0.002615995,0.001894404
0.002605163,0.001896063
0.002594353,0.00189773
0.002583563,0.001899405
0.002572795,0.001901087
0.002562049,0.001902777
0.002551323,0.001904475
0.002540619,0.001906181
0.002529936,0.001907895
0.002519275,0.001909617
0.002508635,0.001911347
0.002498016,0.001913085
0.002487419,0.001914831
0.002476843,0.001916585
0.002466289,0.001918347
0.002455756,0.001920117
0.002445244,0.001921895
0.002434754,0.001923682
0.002424286,0.001925476
0.002413839,0.001927279
0.002403413,0.00192909
0.002393009,0.001930909
0.002382627,0.001932737
0.002372266,0.001934573
0.002361927,0.001936417
0.002351609,0.001938269
0.002341313,0.00194013
0.002331038,0.001941999
0.002320785,0.001943877
0.002310554,0.001945763
0.002300344,0.001947658
0.002290156,0.001949561
0.00227999,0.001951473
0.002269846,0.001953393
0.002259723,0.001955322
0.002249622,0.001957259
0.002239542,0.001959205
0.002229485,0.001961159
0.002219449,0.001963123
0.002209434,0.001965095
0.002199442,0.001967075
0.002189472,0.001969065
0.002179523,0.001971063
0.002169596,0.00197307
0.002159691,0.001975085
0.002149808,0.00197711
0.002139946,0.001979143
0.002130107,0.001981186
0.002120289,0.001983237
0.002110494,0.001985297
0.00210072,0.001987366
0.002090968,0.001989444
0.002081238,0.001991531
0.002071531,0.001993627
0.002061845,0.001995732
0.002052181,0.001997846
0.002042539,0.001999969
0.002032919,0.002002102
0.002023321,0.002004243
0.002013745,0.002006394
0.002004191,0.002008553
0.00199466,0.002010722
0.00198515,0.0020129
0.001975663,0.002015088
0.001966197,0.002017285
0.001956754,0.002019491
0.001947333,0.002021706
0.001937933,0.002023931
0.001928557,0.002026165
0.001919202,0.002028408
0.001909869,0.002030661
0.001900559,0.002032923
0.001891271,0.002035195
0.001882005,0.002037476
