hir3 50,hir3 100
-0.001473284,-0.000894294
-0.00145676,-0.00087909
-0.001440263,-0.000863914
-0.001423793,-0.000848766
-0.001407351,-0.000833645
-0.001390935,-0.000818553
-0.001374546,-0.000803489
-0.001358184,-0.000788453
-0.001341848,-0.000773445
-0.00132554,-0.000758464
-0.001309258,-0.000743511
-0.001293004,-0.000728586
-0.001276775,-0.000713689
-0.001260574,-0.000698819
-0.001244399,-0.000683977
-0.00122825,-0.000669162
-0.001212129,-0.000654375
-0.001196033,-0.000639616
-0.001179964,-0.000624883
-0.001163922,-0.000610179
-0.001147906,-0.000595501
-0.001131916,-0.000580851
-0.001115953,-0.000566228
-0.001100015,-0.000551633
-0.001084104,-0.000537064
-0.00106822,-0.000522523
-0.001052361,-0.000508009
-0.001036528,-0.000493522
-0.001020722,-0.000479062
-0.001004941,-0.000464629
-0.000989187,-0.000450222
-0.000973458,-0.000435843
-0.000957756,-0.000421491
-0.000942079,-0.000407165
-0.000926428,-0.000392866
-0.000910803,-0.000378594
-0.000895203,-0.000364349
-0.00087963,-0.00035013
-0.000864082,-0.000335938
-0.000848559,-0.000321772
-0.000833062,-0.000307633
-0.000817591,-0.000293521
-0.000802145,-0.000279435
-0.000786725,-0.000265375
-0.00077133,-0.000251342
-0.000755961,-0.000237335
-0.000740617,-0.000223354
-0.000725298,-0.000209399
-0.000710005,-0.000195471
-0.000694737,-0.000181569
-0.000679494,-0.000167693
-0.000664276,-0.000153843
-0.000649083,-0.000140019
-0.000633915,-0.000126221
-0.000618773,-0.000112449
-0.000603655,-9.87E-05
-0.000588563,-8.50E-05
-0.000573495,-7.13E-05
-0.000558453,-5.76E-05
-0.000543435,-4.40E-05
-0.000528442,-3.04E-05
-0.000513474,-1.68E-05
-0.00049853,-3.20E-06
-0.000483611,1.03E-05
-0.000468717,2.39E-05
-0.000453848,3.73E-05
-0.000439003,5.08E-05
-0.000424183,6.42E-05
-0.000409387,7.77E-05
-0.000394616,9.10E-05
-0.000379869,0.000104403
-0.000365147,0.00011774
-0.000350449,0.000131051
-0.000335775,0.000144338
-0.000321125,0.000157599
-0.0003065,0.000170835
-0.000291899,0.000184046
-0.000277323,0.000197231
-0.00026277,0.000210392
-0.000248242,0.000223528
-0.000233737,0.000236639
-0.000219257,0.000249725
-0.000204801,0.000262786
-0.000190368,0.000275823
-0.00017596,0.000288834
-0.000161575,0.000301821
-0.000147214,0.000314783
-0.000132878,0.000327721
-0.000118564,0.000340634
-0.000104275,0.000353522
-9.00E-05,3.66E-04
-7.58E-05,3.79E-04
-6.15E-05,3.92E-04
-4.74E-05,4.05E-04
-3.32E-05,4.18E-04
-1.90E-05,4.30E-04
-4.91E-06,4.43E-04
9.19E-06,4.56E-04
2.33E-05,4.68E-04
3.73E-05,4.81E-04
5.14E-05,4.94E-04
6.54E-05,5.06E-04
7.93E-05,5.19E-04
9.33E-05,5.31E-04
0.000107242,0.000543926
0.000121157,0.000556426
0.000135048,0.000568903
0.000148917,0.000581355
0.000162762,0.000593784
0.000176585,0.000606189
0.000190384,0.00061857
0.00020416,0.000630928
0.000217914,0.000643262
0.000231645,0.000655572
0.000245352,0.000667859
0.000259038,0.000680122
0.0002727,0.000692361
0.00028634,0.000704577
0.000299956,0.00071677
0.000313551,0.000728939
0.000327122,0.000741085
0.000340672,0.000753207
0.000354198,0.000765306
0.000367702,0.000777382
0.000381184,0.000789435
0.000394643,0.000801464
0.00040808,0.00081347
0.000421494,0.000825454
0.000434886,0.000837414
0.000448256,0.000849351
0.000461604,0.000861265
0.000474929,0.000873156
0.000488232,0.000885024
0.000501513,0.000896869
0.000514772,0.000908691
0.000528009,0.000920491
0.000541224,0.000932268
0.000554417,0.000944022
0.000567588,0.000955753
0.000580737,0.000967462
0.000593864,0.000979148
0.000606969,0.000990811
0.000620052,0.001002452
0.000633114,0.001014071
0.000646154,0.001025666
0.000659172,0.00103724
0.000672168,0.001048791
0.000685143,0.00106032
0.000698096,0.001071826
0.000711028,0.00108331
0.000723938,0.001094772
0.000736826,0.001106211
0.000749693,0.001117629
0.000762539,0.001129024
0.000775363,0.001140397
0.000788166,0.001151748
0.000800948,0.001163077
0.000813708,0.001174384
0.000826447,0.001185669
0.000839165,0.001196932
0.000851861,0.001208173
0.000864536,0.001219392
0.000877191,0.00123059
0.000889824,0.001241766
0.000902436,0.00125292
0.000915027,0.001264052
0.000927597,0.001275163
0.000940146,0.001286251
0.000952675,0.001297319
0.000965182,0.001308365
0.000977668,0.001319389
0.000990134,0.001330392
0.001002579,0.001341373
0.001015003,0.001352333
0.001027407,0.001363271
0.001039789,0.001374188
0.001052151,0.001385084
0.001064493,0.001395959
0.001076814,0.001406812
0.001089114,0.001417644
0.001101394,0.001428455
0.001113654,0.001439245
0.001125893,0.001450014
0.001138111,0.001460761
0.001150309,0.001471488
0.001162487,0.001482193
0.001174645,0.001492878
0.001186782,0.001503542
0.001198899,0.001514185
0.001210996,0.001524807
0.001223073,0.001535408
0.001235129,0.001545988
0.001247166,0.001556548
0.001259182,0.001567087
0.001271178,0.001577605
0.001283155,0.001588103
0.001295111,0.00159858
0.001307048,0.001609036
0.001318964,0.001619472
0.001330861,0.001629888
0.001342738,0.001640283
0.001354595,0.001650657
0.001366432,0.001661011
0.00137825,0.001671345
0.001390047,0.001681659
0.001401826,0.001691952
0.001413584,0.001702225
0.001425323,0.001712477
0.001437043,0.00172271
0.001448742,0.001732922
0.001460423,0.001743115
0.001472084,0.001753287
0.001483725,0.001763439
0.001495347,0.001773571
0.00150695,0.001783683
0.001518533,0.001793776
0.001530097,0.001803848
0.001541642,0.001813901
0.001553167,0.001823933
0.001564674,0.001833946
0.001576161,0.001843939
0.001587629,0.001853912
0.001599078,0.001863866
0.001610508,0.0018738
0.001621918,0.001883714
0.00163331,0.001893609
0.001644683,0.001903484
0.001656037,0.00191334
0.001667372,0.001923176
0.001678688,0.001932993
0.001689985,0.00194279
0.001701264,0.001952568
0.001712523,0.001962327
0.001723764,0.001972066
0.001734986,0.001981786
0.00174619,0.001991487
0.001757375,0.002001168
0.001768541,0.002010831
0.001779689,0.002020474
0.001790818,0.002030098
0.001801928,0.002039703
0.00181302,0.002049289
0.001824094,0.002058856
0.001835149,0.002068404
0.001846186,0.002077933
0.001857204,0.002087443
0.001868204,0.002096934
0.001879186,0.002106406
0.00189015,0.00211586
0.001901095,0.002125294
0.001912022,0.00213471
0.001922931,0.002144108
0.001933822,0.002153486
0.001944695,0.002162846
0.001955549,0.002172187
0.001966386,0.00218151
0.001977204,0.002190814
0.001988005,0.0022001
0.001998787,0.002209367
0.002009552,0.002218616
0.002020299,0.002227846
0.002031028,0.002237058
0.002041739,0.002246252
0.002052432,0.002255427
0.002063108,0.002264584
0.002073766,0.002273723
0.002084406,0.002282844
0.002095028,0.002291946
0.002105633,0.00230103
0.002116221,0.002310096
0.00212679,0.002319144
0.002137342,0.002328174
0.002147877,0.002337186
0.002158394,0.00234618
0.002168894,0.002355156
0.002179376,0.002364115
0.002189841,0.002373055
0.002200289,0.002381977
0.002210719,0.002390882
0.002221132,0.002399768
0.002231527,0.002408637
0.002241906,0.002417489
0.002252267,0.002426322
0.002262611,0.002435138
0.002272938,0.002443936
0.002283248,0.002452717
0.002293541,0.00246148
0.002303816,0.002470226
0.002314075,0.002478954
0.002324317,0.002487665
0.002334541,0.002496358
0.002344749,0.002505034
0.00235494,0.002513692
0.002365114,0.002522333
0.002375271,0.002530957
0.002385412,0.002539563
0.002395535,0.002548153
0.002405642,0.002556725
0.002415733,0.00256528
0.002425806,0.002573817
0.002435863,0.002582338
0.002445903,0.002590842
0.002455927,0.002599328
0.002465934,0.002607798
0.002475925,0.00261625
0.002485899,0.002624686
0.002495856,0.002633104
0.002505797,0.002641506
0.002515722,0.002649891
0.002525631,0.002658259
0.002535523,0.00266661
0.002545398,0.002674944
0.002555258,0.002683262
0.002565101,0.002691563
0.002574928,0.002699848
0.002584739,0.002708115
0.002594533,0.002716366
0.002604312,0.002724601
0.002614074,0.002732819
0.00262382,0.00274102
0.00263355,0.002749205
0.002643265,0.002757374
0.002652963,0.002765526
0.002662645,0.002773662
0.002672311,0.002781781
0.002681962,0.002789884
0.002691596,0.002797971
0.002701215,0.002806041
0.002710818,0.002814096
0.002720405,0.002822134
0.002729976,0.002830156
0.002739532,0.002838161
0.002749072,0.002846151
0.002758596,0.002854124
0.002768105,0.002862082
0.002777598,0.002870023
0.002787075,0.002877949
0.002796537,0.002885858
0.002805983,0.002893752
0.002815414,0.00290163
0.00282483,0.002909492
0.00283423,0.002917338
0.002843614,0.002925168
0.002852983,0.002932982
0.002862337,0.002940781
0.002871676,0.002948564
0.002880999,0.002956331
0.002890307,0.002964083
0.0028996,0.002971819
0.002908877,0.002979539
0.00291814,0.002987244
0.002927387,0.002994933
0.002936619,0.003002607
0.002945836,0.003010266
0.002955038,0.003017909
0.002964225,0.003025536
0.002973397,0.003033148
0.002982554,0.003040745
0.002991696,0.003048327
0.003000823,0.003055893
0.003009936,0.003063444
0.003019033,0.003070979
0.003028116,0.0030785
0.003037183,0.003086005
0.003046236,0.003093495
0.003055275,0.00310097
0.003064298,0.00310843
0.003073307,0.003115875
0.003082301,0.003123305
0.003091281,0.00313072
0.003100246,0.00313812
0.003109196,0.003145505
0.003118132,0.003152875
0.003127054,0.003160231
0.00313596,0.003167571
0.003144853,0.003174897
0.003153731,0.003182208
0.003162594,0.003189504
0.003171444,0.003196785
0.003180278,0.003204052
0.003189099,0.003211304
0.003197905,0.003218541
0.003206697,0.003225764
0.003215475,0.003232972
0.003224238,0.003240166
0.003232988,0.003247345
0.003241723,0.003254509
0.003250444,0.003261659
0.003259151,0.003268795
0.003267844,0.003275916
0.003276523,0.003283023
0.003285188,0.003290116
0.003293839,0.003297194
0.003302476,0.003304258
0.003311099,0.003311308
0.003319708,0.003318344
0.003328303,0.003325365
0.003336884,0.003332372
0.003345452,0.003339365
0.003354006,0.003346344
0.003362546,0.003353309
0.003371072,0.003360259
0.003379584,0.003367196
0.003388083,0.003374119
