ies1 50,ies1 100,ies1 50,ies1 100
0,0,-0.000152512,7.08E-05
0,0,-0.000135,7.55E-05
0,0,-0.000117514,8.02E-05
0,0,-0.000100053,8.50E-05
0,0,-8.26E-05,8.97E-05
0,0,-6.52E-05,9.44E-05
0,0,-4.78E-05,9.92E-05
0,0,-3.05E-05,1.04E-04
0,0,-1.31E-05,1.09E-04
0,0,4.17E-06,1.13E-04
0,0,2.15E-05,1.18E-04
0,0,3.87E-05,1.23E-04
0,0,5.59E-05,1.28E-04
0,0,7.31E-05,1.32E-04
0,0,9.03E-05,1.37E-04
0,0,0.000107479,0.000141752
0,0,0.000124608,0.000146485
0,0,0.000141712,0.000151219
0,0,0.00015879,0.000155952
0,0,0.000175843,0.000160686
0,0,0.00019287,0.00016542
0,0,0.000209873,0.000170153
0,0,0.00022685,0.000174887
0,0,0.000243802,0.000179621
0,0,0.000260729,0.000184355
0,0,0.000277631,0.000189088
0,0,0.000294508,0.000193822
0,0,0.00031136,0.000198556
0,0,0.000328186,0.000203289
0,0,0.000344988,0.000208023
0,0,0.000361764,0.000212757
0,0,0.000378516,0.00021749
0,0,0.000395243,0.000222224
0,0,0.000411944,0.000226957
0,0,0.000428621,0.000231691
0,0,0.000445273,0.000236424
0,0,0.0004619,0.000241158
0,0,0.000478503,0.000245891
0,0,0.00049508,0.000250625
0,0,0.000511633,0.000255358
0,0,0.000528161,0.000260091
0,0,0.000544664,0.000264824
0,0,0.000561143,0.000269557
0,0,0.000577596,0.00027429
0,0,0.000594026,0.000279023
0,0,0.00061043,0.000283756
0,0,0.00062681,0.000288489
0,0,0.000643166,0.000293221
0,0,0.000659497,0.000297954
0,0,0.000675803,0.000302686
0,0,0.000692085,0.000307419
0,0,0.000708343,0.000312151
0,0,0.000724576,0.000316883
0,0,0.000740784,0.000321615
0,0,0.000756968,0.000326347
0,0,0.000773128,0.000331079
0,0,0.000789264,0.00033581
0,0,0.000805375,0.000340542
0,0,0.000821462,0.000345273
0,0,0.000837524,0.000350004
0,0,0.000853563,0.000354735
0,0,0.000869577,0.000359466
0,0,0.000885567,0.000364197
0,0,0.000901533,0.000368928
0,0,0.000917474,0.000373658
0,0,0.000933392,0.000378388
0,0,0.000949285,0.000383118
0,0,0.000965155,0.000387848
0,0,0.000981,0.000392578
0,0,0.000996821,0.000397308
0,0,0.001012619,0.000402037
0,0,0.001028392,0.000406766
0,0,0.001044141,0.000411495
0,0,0.001059867,0.000416224
0,0,0.001075569,0.000420952
0,0,0.001091246,0.000425681
0,0,0.0011069,0.000430409
0,0,0.00112253,0.000435137
0,0,0.001138136,0.000439865
0,0,0.001153719,0.000444592
0,0,0.001169278,0.000449319
0,0,0.001184813,0.000454046
0,0,0.001200324,0.000458773
0,0,0.001215812,0.0004635
0,0,0.001231276,0.000468226
0,0,0.001246716,0.000472952
0,0,0.001262133,0.000477678
0,0,0.001277526,0.000482403
0,0,0.001292896,0.000487129
0,0,0.001308242,0.000491854
0,0,0.001323565,0.000496578
0,0,0.001338864,0.000501303
0,0,0.00135414,0.000506027
0,0,0.001369392,0.000510751
0,0,0.001384621,0.000515475
0,0,0.001399826,0.000520198
0,0,0.001415009,0.000524921
0,0,0.001430167,0.000529644
0,0,0.001445303,0.000534366
0,0,0.001460415,0.000539088
0,0,0.001475504,0.00054381
0,0,0.00149057,0.000548532
0,0,0.001505613,0.000553253
0,0,0.001520632,0.000557974
0,0,0.001535628,0.000562695
0,0,0.001550601,0.000567415
0,0,0.001565551,0.000572135
0,0,0.001580478,0.000576854
0,0,0.001595382,0.000581573
0,0,0.001610263,0.000586292
0,0,0.001625121,0.000591011
0,0,0.001639955,0.000595729
0,0,0.001654767,0.000600447
0,0,0.001669556,0.000605164
0,0,0.001684322,0.000609882
0,0,0.001699065,0.000614598
0,0,0.001713785,0.000619315
0,0,0.001728483,0.000624031
0,0,0.001743157,0.000628746
0,0,0.001757809,0.000633462
0,0,0.001772438,0.000638176
0,0,0.001787044,0.000642891
0,0,0.001801628,0.000647605
0,0,0.001816188,0.000652319
0,0,0.001830727,0.000657032
0,0,0.001845242,0.000661745
0,0,0.001859735,0.000666457
0,0,0.001874205,0.000671169
0,0,0.001888653,0.000675881
0,0,0.001903078,0.000680592
0,0,0.00191748,0.000685303
0,0,0.00193186,0.000690013
0,0,0.001946218,0.000694723
0,0,0.001960553,0.000699433
0,0,0.001974866,0.000704142
0,0,0.001989156,0.00070885
0,0,0.002003424,0.000713558
0,0,0.002017669,0.000718266
0,0,0.002031892,0.000722973
0,0,0.002046093,0.00072768
