bur2 50,bur2 100,bur2 50,bur2 100
0,0,0.002735699,0.00095083
0,0,0.002733926,0.00095037
0,0,0.002732178,0.000949909
0,0,0.002730454,0.000949447
0,0,0.002728755,0.000948983
0,0,0.00272708,0.000948518
0,0,0.00272543,0.000948052
0,0,0.002723804,0.000947585
0,0,0.002722202,0.000947116
0,0,0.002720624,0.000946647
0,0,0.002719071,0.000946176
0,0,0.002717542,0.000945704
0,0,0.002716037,0.000945231
0,0,0.002714557,0.000944756
0,0,0.0027131,0.000944281
0,0,0.002711668,0.000943805
0,0,0.00271026,0.000943327
0,0,0.002708876,0.000942849
0,0,0.002707516,0.000942369
0,0,0.00270618,0.000941889
0,0,0.002704869,0.000941408
0,0,0.002703581,0.000940925
0,0,0.002702317,0.000940442
0,0,0.002701078,0.000939958
0,0,0.002699862,0.000939473
0,0,0.00269867,0.000938986
0,0,0.002697503,0.0009385
0,0,0.002696359,0.000938012
0,0,0.002695239,0.000937523
0,0,0.002694143,0.000937034
0,0,0.00269307,0.000936544
0,0,0.002692022,0.000936053
0,0,0.002690997,0.000935561
0,0,0.002689997,0.000935069
0,0,0.00268902,0.000934576
0,0,0.002688066,0.000934082
0,0,0.002687137,0.000933587
0,0,0.002686231,0.000933092
0,0,0.002685349,0.000932596
0,0,0.00268449,0.0009321
0,0,0.002683655,0.000931603
0,0,0.002682844,0.000931105
0,0,0.002682057,0.000930607
0,0,0.002681293,0.000930108
0,0,0.002680552,0.000929609
0,0,0.002679835,0.000929109
0,0,0.002679142,0.000928608
0,0,0.002678472,0.000928108
0,0,0.002677826,0.000927606
0,0,0.002677203,0.000927104
0,0,0.002676603,0.000926602
0,0,0.002676027,0.000926099
0,0,0.002675474,0.000925596
0,0,0.002674945,0.000925093
0,0,0.002674439,0.000924589
0,0,0.002673957,0.000924085
0,0,0.002673497,0.000923581
0,0,0.002673061,0.000923076
0,0,0.002672649,0.000922571
0,0,0.002672259,0.000922065
0,0,0.002671893,0.00092156
0,0,0.00267155,0.000921054
0,0,0.00267123,0.000920548
0,0,0.002670933,0.000920041
0,0,0.00267066,0.000919535
0,0,0.00267041,0.000919028
0,0,0.002670182,0.000918521
0,0,0.002669978,0.000918014
0,0,0.002669797,0.000917507
0,0,0.002669639,0.000917
0,0,0.002669504,0.000916493
0,0,0.002669392,0.000915986
0,0,0.002669303,0.000915478
0,0,0.002669237,0.000914971
0,0,0.002669194,0.000914463
0,0,0.002669174,0.000913956
0,0,0.002669177,0.000913448
0,0,0.002669203,0.000912941
0,0,0.002669251,0.000912433
0,0,0.002669323,0.000911926
0,0,0.002669417,0.000911419
0,0,0.002669534,0.000910912
0,0,0.002669674,0.000910405
0,0,0.002669837,0.000909898
0,0,0.002670022,0.000909391
0,0,0.00267023,0.000908884
0,0,0.002670461,0.000908378
0,0,0.002670715,0.000907872
0,0,0.002670991,0.000907366
0,0,0.00267129,0.00090686
0,0,0.002671611,0.000906355
0,0,0.002671955,0.000905849
0,0,0.002672322,0.000905344
0,0,0.002672711,0.00090484
0,0,0.002673123,0.000904335
0,0,0.002673557,0.000903831
0,0,0.002674014,0.000903328
0,0,0.002674493,0.000902824
0,0,0.002674995,0.000902321
0,0,0.002675519,0.000901819
0,0,0.002676066,0.000901317
0,0,0.002676635,0.000900815
0,0,0.002677227,0.000900314
0,0,0.00267784,0.000899813
0,0,0.002678477,0.000899313
0,0,0.002679135,0.000898813
0,0,0.002679816,0.000898314
0,0,0.002680519,0.000897815
0,0,0.002681245,0.000897316
0,0,0.002681992,0.000896819
0,0,0.002682762,0.000896322
0,0,0.002683554,0.000895825
0,0,0.002684368,0.000895329
0,0,0.002685205,0.000894834
0,0,0.002686064,0.000894339
0,0,0.002686944,0.000893845
0,0,0.002687847,0.000893352
0,0,0.002688772,0.000892859
0,0,0.002689719,0.000892367
0,0,0.002690688,0.000891876
0,0,0.002691679,0.000891386
0,0,0.002692692,0.000890896
0,0,0.002693727,0.000890407
0,0,0.002694785,0.000889919
0,0,0.002695864,0.000889432
0,0,0.002696965,0.000888945
0,0,0.002698087,0.000888459
0,0,0.002699232,0.000887974
0,0,0.002700399,0.00088749
0,0,0.002701587,0.000887007
0,0,0.002702798,0.000886525
0,0,0.00270403,0.000886044
0,0,0.002705284,0.000885563
0,0,0.00270656,0.000885084
0,0,0.002707857,0.000884605
0,0,0.002709176,0.000884128
0,0,0.002710517,0.000883651
0,0,0.00271188,0.000883175
0,0,0.002713264,0.000882701
0,0,0.00271467,0.000882227
0,0,0.002716098,0.000881755
0,0,0.002717547,0.000881284
0,0,0.002719018,0.000880813
0,0,0.002720511,0.000880344
0,0,0.002722025,0.000879876
0,0,0.00272356,0.000879409
0,0,0.002725117,0.000878943
0,0,0.002726696,0.000878478
0,0,0.002728296,0.000878015
0,0,0.002729918,0.000877553
0,0,0.002731561,0.000877091
0,0,0.002733225,0.000876631
0,0,0.002734911,0.000876173
0,0,0.002736618,0.000875715
0,0,0.002738347,0.000875259
0,0,0.002740096,0.000874804
0,0,0.002741868,0.000874351
0,0,0.00274366,0.000873898
0,0,0.002745474,0.000873447
0,0,0.002747309,0.000872998
0,0,0.002749166,0.000872549
0,0,0.002751043,0.000872103
0,0,0.002752942,0.000871657
0,0,0.002754862,0.000871213
0,0,0.002756803,0.00087077
0,0,0.002758766,0.000870329
0,0,0.002760749,0.000869889
0,0,0.002762754,0.000869451
0,0,0.00276478,0.000869014
0,0,0.002766826,0.000868578
0,0,0.002768894,0.000868144
0,0,0.002770983,0.000867712
0,0,0.002773093,0.000867281
0,0,0.002775224,0.000866852
0,0,0.002777376,0.000866424
0,0,0.002779549,0.000865998
0,0,0.002781743,0.000865573
0,0,0.002783957,0.00086515
0,0,0.002786193,0.000864729
0,0,0.00278845,0.000864309
0,0,0.002790727,0.000863891
0,0,0.002793025,0.000863474
0,0,0.002795345,0.000863059
0,0,0.002797684,0.000862646
0,0,0.002800045,0.000862235
0,0,0.002802427,0.000861825
0,0,0.002804829,0.000861417
0,0,0.002807252,0.000861011
0,0,0.002809696,0.000860607
0,0,0.00281216,0.000860204
0,0,0.002814645,0.000859803
0,0,0.002817151,0.000859404
0,0,0.002819677,0.000859007
0,0,0.002822224,0.000858612
0,0,0.002824792,0.000858218
0,0,0.00282738,0.000857827
0,0,0.002829989,0.000857437
0,0,0.002832618,0.000857049
0,0,0.002835268,0.000856663
0,0,0.002837938,0.000856279
0,0,0.002840629,0.000855897
0,0,0.00284334,0.000855516
0,0,0.002846072,0.000855138
0,0,0.002848824,0.000854762
0,0,0.002851597,0.000854388
0,0,0.00285439,0.000854015
0,0,0.002857203,0.000853645
0,0,0.002860037,0.000853277
0,0,0.002862891,0.000852911
0,0,0.002865766,0.000852547
0,0,0.00286866,0.000852185
0,0,0.002871575,0.000851825
0,0,0.002874511,0.000851467
0,0,0.002877466,0.000851111
0,0,0.002880442,0.000850758
0,0,0.002883438,0.000850406
0,0,0.002886454,0.000850057
0,0,0.00288949,0.00084971
0,0,0.002892547,0.000849365
0,0,0.002895623,0.000849022
0,0,0.00289872,0.000848682
0,0,0.002901837,0.000848343
0,0,0.002904974,0.000848007
0,0,0.002908131,0.000847673
0,0,0.002911308,0.000847342
0,0,0.002914505,0.000847013
0,0,0.002917722,0.000846686
0,0,0.002920959,0.000846361
0,0,0.002924216,0.000846039
0,0,0.002927492,0.000845719
0,0,0.002930789,0.000845401
0,0,0.002934106,0.000845086
0,0,0.002937443,0.000844773
0,0,0.002940799,0.000844462
0,0,0.002944176,0.000844154
0,0,0.002947572,0.000843848
0,0,0.002950988,0.000843545
0,0,0.002954424,0.000843244
0,0,0.002957879,0.000842946
0,0,0.002961355,0.00084265
0,0,0.00296485,0.000842356
0,0,0.002968365,0.000842065
0,0,0.002971899,0.000841777
0,0,0.002975454,0.000841491
0,0,0.002979028,0.000841208
0,0,0.002982621,0.000840927
0,0,0.002986234,0.000840648
0,0,0.002989867,0.000840373
0,0,0.00299352,0.0008401
0,0,0.002997192,0.000839829
0,0,0.003000883,0.000839561
0,0,0.003004594,0.000839296
0,0,0.003008325,0.000839033
0,0,0.003012075,0.000838773
0,0,0.003015845,0.000838516
0,0,0.003019634,0.000838261
0,0,0.003023443,0.000838009
0,0,0.003027271,0.00083776
0,0,0.003031118,0.000837513
0,0,0.003034985,0.00083727
0,0,0.003038871,0.000837028
0,0,0.003042777,0.00083679
0,0,0.003046701,0.000836555
0,0,0.003050646,0.000836322
0,0,0.003054609,0.000836092
0,0,0.003058592,0.000835865
0,0,0.003062594,0.00083564
0,0,0.003066615,0.000835419
0,0,0.003070656,0.0008352
0,0,0.003074716,0.000834984
0,0,0.003078795,0.000834771
0,0,0.003082893,0.000834561
0,0,0.00308701,0.000834354
0,0,0.003091147,0.00083415
0,0,0.003095302,0.000833948
0,0,0.003099477,0.00083375
0,0,0.003103671,0.000833554
0,0,0.003107884,0.000833362
0,0,0.003112116,0.000833172
0,0,0.003116367,0.000832986
0,0,0.003120637,0.000832802
0,0,0.003124926,0.000832621
0,0,0.003129234,0.000832444
0,0,0.003133561,0.000832269
0,0,0.003137907,0.000832098
0,0,0.003142271,0.000831929
0,0,0.003146655,0.000831764
0,0,0.003151058,0.000831602
0,0,0.003155479,0.000831442
0,0,0.00315992,0.000831286
0,0,0.003164379,0.000831133
0,0,0.003168857,0.000830983
0,0,0.003173354,0.000830837
0,0,0.003177869,0.000830693
